Location,Exterior_Color,Interior_Color,Drive_Train,MPG,Fuel_Type,Transmission,Engine,Mileage,Status,Year,Brand,Model
dallas-tx,Indus Silver Metallic,Mars Red/Flame Red Stitch,All-wheel Drive,NULL,,Automatic,Electric Motor,"81,521 mi.",Used,2019,Jaguar,I-PACE HSE
dallas-tx,Nardo Gray,Black,All-wheel Drive,14-21,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,"6,650 mi.",Used,2023,Audi,RS 6 Avant 4.0T quattro
dallas-tx,Bellanova White Pearl,Ebony,Front-wheel Drive,20-29,Gasoline,Automatic,"3.5L V-6 variable valve control, premium unleaded, engine with 2","129,614 mi.",Used,2013,Acura,TL 3.5
dallas-tx,Grigio Lynx Metallic,Nero Ade,All-wheel Drive,14-20,Gasoline,Automatic,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro","5,183 mi.",Used,2015,Lamborghini,Huracan LP610-4
dallas-tx,Yellow,Nero,Rear-wheel Drive,12-18,Gasoline,7-Speed Automatic with Auto-Shift,4.5L V8 32V GDI DOHC,"22,000 mi.",Used,2010,Ferrari,458 Italia Base
dallas-tx,Mojave Silver Metallic,Brown,All-wheel Drive,19-26,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,"49,077 mi.",Used,2021,Mercedes-Benz,GLE 350 Base 4MATIC
dallas-tx,Atomic Silver,Black,Front-wheel Drive,19-26,Gasoline,Automatic,"3.5L V-6 port/direct injection, DOHC, VVT-iW variable valve cont","18,944 mi.",Used,2021,Lexus,RX 350L Base
dallas-tx,Lunar White,Black,Front-wheel Drive,NULL,,Automatic,Electric,"44,515 mi.",Used,2021,Hyundai,Kona EV Limited
dallas-tx,Snow White Pearl,Black,Front-wheel Drive,,Hybrid,6-Speed Automatic,2.4L I4 16V MPFI DOHC Hybrid,"146,283 mi.",Used,2015,Kia,Optima Hybrid
dallas-tx,Magnetite Gray Metallic,Black,All-wheel Drive,20-26,Gasoline,Automatic CVT,2.4L H4 16V GDI DOHC Turbo,"44,879 mi.",Used,2021,Subaru,Ascent Limited 8-Passenger
dallas-tx,Moonstone Gray Metallic,Ebony Seats,Front-wheel Drive,23-31,Gasoline,9-Speed Automatic,"2L I-4 gasoline direct injection, DOHC, variable valve control,","10,503 mi.",Used,2023,Buick,Envision Essence FWD
dallas-tx,Pearl White Tricoat,Gray,Front-wheel Drive,28-39,Gasoline,CVT with Xtronic,"2.5L I-4 gasoline direct injection, DOHC, CVTCS variable valve c","110,196 mi.",Used,2020,Nissan,Altima 2.5 SV
dallas-tx,Sonic Blue,Black,Front-wheel Drive,20-27,Gasoline,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,"62,386 mi.",Used,2022,Hyundai,Kona N Base
dallas-tx,Eminent White Pearl,Black,Rear-wheel Drive,22-32,Gasoline,8-Speed Automatic,2.0L I4 16V PDI DOHC Turbo,"44,001 mi.",Used,2016,Lexus,RC 200t Base
